Registered Charity Name,Public Name,Status,Address,CORRECT Address,CORRECT CITY,City,Province,Postal Code,CRA Number,Organization Type,URL
Afro Women and Youth Foundation,Afro Women & Youth Foundation,Status,,,,,Ontario,,NA,Nonprofit,https://afrowyf.org/
Alliston & District Humane Society ,Alliston & District Humane Society ,Status,PO Box 1455 - 5545 Concession Rd 4 ,Po Box 1455 - 5545 Concession Rd 4 ,Everett,Everett,Ontario,L0M 1J0,135298081 RR 0001,Registered Charity,https://allistonhumane.com/
Anduhyaun Inc.,Anduhyaun Inc.,Status,1296 Weston Road,1296 Weston Road,York,York,Ontario,M6M 4R3,118786524 RR 0001,Registered Charity,http://anduhyaun.org/
Armagh ,Armagh ,Status,"P.O. Box 52581, 1801 Lakeshore Rd. W","P.O. Box 52581, 1801 Lakeshore Rd. W",Mississauga ,Mississauga ,Ontario,L5J 4S6,118789635 RR 0001,Registered Charity,https://www.armaghhouse.ca/
Arrabon House,Arrabon House,Status,,,Toronto ,Toronto ,Ontario,,NA,Closed,
Art for Cancer ,Art for Cancer ,Status,,,Toronto ,Toronto ,Ontario,,NA,Closed,
Back Door Mission for the Relief of Poverty,Back Door Mission,Status,66 Simcoe St. South,66 Simcoe St. South,Oshawa,Oshawa,Ontario,L1H 4G3,829334770 RR 0001,Registered Charity,https://www.backdoormission.ca/
Belleville Fire Fighters Association Benevolent Fund,Belleville Professional Firefighters Toy Drive,Status,P.O. Box 20048,P.O. Box 20048,Belleville,Belleville,Ontario,K8N 5V1,889073649RR0001,Registered Charity,
Big Brothers & Big Sisters of Hastings & Prince Edward Counties,Big Brothers Big Sisters of Hastings and Prince Edward County,Status,250 Sidney Street Belleville,250 Sidney Street Belleville,Belleville,Belleville,Ontario,K8P 3Z3,118808096RR0001,Registered Charity,https://hastings-pec.bigbrothersbigsisters.ca/donate/
Birth Mark,Birth Mark,Status,192 Spadina Ave unit 105,192 Spadina Ave Unit 105,Toronto ,Toronto ,Ontario,M5T 2C2,743972515 RR 0001,Registered Charity,https://birthmarksupport.com/
Blue Veil Charity,Sara Elizabeth Centre ,Status,109 MERCURY ROAD,109 Mercury Road,Toronto,TORONTO,Ontario,M9W 3H7,803339340RR0001,Registered Charity,https://www.facebook.com/SaraElizabethCentre/
Boost Child & Youth Advocacy Centre ,Boost Child and Youth Advocacy Centre ,Status,245 Eglington Ave East 2nd Floor,245 Eglington Ave East 2Nd Floor,Toronto ,Toronto ,Ontario,M4P 3B7,11903 9568 RR0001,Registered Charity,https://boostforkids.org/
Boys & Girls Clubs Big Brothers Big Sisters of Edmonton & Area Society,Boys & Girls Clubs Big Brothers Big Sisters of Edmonton & Area Society,Status,9425-109A Ave,9425-109A Ave,Edmonton ,Edmonton ,Alberta ,T5H1G1,11880-8799-RR0001,Registered Charity,
